Feature,Coefficient
server,1.9759017857825456
winner,0.389388460971245
set_score_lead,0.25041807661335275
serve_depth,0.16542053162971845
double_fault,0.11658819145385176
net_pt_won,0.07156941601754642
distance_run,0.06121843927017155
rally_count,0.015803820926927215
net_pt,0.0014491491323367924
streak,-0.008051065716979748
speed_mph,-0.009755839084694597
return_depth,-0.014032886781738039
ace,-0.01677603382338009
break_pt,-0.10916953066572026
game_score_lead,-0.1173733011474031
break_pt_won,-0.13141986436454092
serve_width,-0.35034583397715857
unf_err,-0.554817617439695
serve_no,-0.7622798926526133
