match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,game_score_lead,set_score_lead,ace,winner,double_fault,unf_err,net_pt,net_pt_won,break_pt,break_pt_won,break_pt_missed,distance_run,p1_streak,p2_streak,streak,score_sum_p1,score_sum_p2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.0,1,1,1,0,0,0,0,0,0,1,2,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,2.0,-1.0,-1.0,0,-1,0,0,0,1,0,0,0,0,0,-1.8399999999999999,0.0,0.0,0.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.6333333333333333,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,1.0,1.0,-1.0,-1,0,0,0,0,1,0,0,0,0,0,-1.8410000000000002,0.0,1.0,-1.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1.0166666666666666,1,1,3,0,0,0,0,1,1,1,1,-1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,1.0,-1.0,1.0,0,-1,0,0,0,2,0,0,0,0,0,-6.007999999999999,1.0,0.0,1.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1.5166666666666666,1,1,4,0,0,0,0,1,2,1,1,1,2,2,0,0,0,0,1,0,F,0,0,2,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,2.0,1.0,1.0,-1,0,0,1,0,2,-1,0,0,0,0,-24.523000000000003,0.0,1.0,-1.0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2.8333333333333335,1,1,6,0,0,0,0,3,2,1,2,-1,3,3,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,2.0,-1.0,-1.0,1,0,1,2,0,2,-1,0,0,0,0,1.0420000000000007,2.0,0.0,2.0,3.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3.55,1,1,7,0,0,0,0,3,3,1,1,1,4,3,0,0,2,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,1.0,1.0,1.0,0,1,2,3,0,2,-1,0,0,0,0,-11.004000000000001,0.0,1.0,-1.0,3.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,4.016666666666667,1,1,8,0,0,0,0,4,3,1,2,-1,4,4,0,0,2,0,3,1,F,0,0,2,0,0,2,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,1.0,-1.0,-1.0,1,0,2,2,0,2,-2,-1,0,0,0,-0.5640000000000001,1.0,0.0,1.0,3.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,4.8,1,1,9,0,0,0,0,3,3,1,1,1,5,4,0,0,2,0,3,1,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,34.489,24.594,7,128.0,2.0,1.0,1.0,0,1,2,2,0,2,-1,0,0,0,0,9.894999999999996,0.0,1.0,-1.0,3.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,5.533333333333333,1,1,10,0,0,0,0,4,3,1,1,1,6,4,1,0,2,0,3,1,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,21.235,27.427,5,110.0,1.0,-1.0,-1.0,1,2,2,2,0,2,-1,0,0,0,0,-6.192,1.0,0.0,1.0,3.0,2.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,7.083333333333333,1,2,11,0,0,1,0,0,0,-1,-1,-1,6,5,0,0,2,1,3,2,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,5.785,4.915,1,112.0,-1.0,-1.0,-1.0,0,1,1,1,0,2,-1,0,0,0,0,0.8700000000000001,2.0,0.0,2.0,3.0,2.0
